YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
-50,0,0,0,0,0,1,1,0,5.5,GEORGIA,0,BLACK SEA,43,41,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
-50,0,0,0,0,0,2,1,0,0,BULGARIA,0,BLACK SEA,43.5,28.5,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
-47,9,0,0,0,0,1,0,0,0,CHINA,0,"LAIZHOU BAY, BOHAI SEA",37.5,119.5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23,0,0,0,0,0,3,0,0,0,EGYPT,0,ALEXANDRIA,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,4,6,0,6.2,GREECE,0,THERA ISLAND (SANTORINI),36.404,25.396,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,2,1,0,6.9,GREECE,0,CRETE,35.2,25.1,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6,20,0,0,0,1,1,0,6.3,CYPRUS,0,LEVANTIAN SEA,34.8,32,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
79,8,24,7,0,0,3,4,0,0,ITALY,0,BAY OF NAPLES,40.821,14.426,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,4,0,0,0,0,0,0,0,0,0,0
115,12,13,0,0,0,2,1,0,7.5,TURKEY,0,ANTAKYA (ANTIOCH),36.1,36.1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2,1,0,7.2,TURKEY,0,MARMARA SEA,40.77,29.92,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,1,0,6.3,SOUTH KOREA,0,SEA OF JAPAN,35.8,129.2,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0
142,0,0,0,0,0,3,1,0,7,GREECE,0,DODECANESE ISLANDS,36.7,28,50,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0
173,6,28,0,0,0,2,1,0,0,CHINA,0,"LAIZHOU BAY, BOHAI SEA",37.5,120,84,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,2,1,0,0,ITALY,0,ISLAND OF SICILY,38,15,50,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
258,0,0,0,0,0,0,1,0,0,ITALY,0,TYRRHENIAN SEA,41.9,12.45,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1001,4,0,0
262,0,0,0,0,0,1,1,0,0,TURKEY,0,SOUTH COASTS OF ASIA MINOR,36.6,30,50,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,3,0,0
315,0,0,0,0,0,1,1,0,0,DEAD SEA,0,DEAD SEA,31.7,35.5,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,-1,1,0,0,CYPRUS ISLAND,0,CYPRUS,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,-1,1,0,0,TURKEY,0,"MARMARA SEA, DARDANELLES",40.3,26.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,1,1,0,6.8,ALBANIA,0,ADRIATIC SEA,41.4,19.4,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0
348,0,0,0,0,0,1,1,0,4.1,TURKEY,0,LEVANTIAN SEA,33.9,35.5,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,8,24,0,0,0,1,1,0,0,TURKEY,0,MARMARA SEA,40.77,29.9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
362,5,24,0,0,0,2,1,0,0,JORDAN,0,DEAD SEA,31.3,35.6,50,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
365,7,21,0,0,0,4,1,70,8,GREECE,0,CRETE,35,23,50,0,0,0,4,0,5000,4,0,0,0,0,0,4,0,3,0,0,5000,4,0,0,0,0,0,4,0,3,0,0
368,0,0,0,0,0,2,1,0,6.4,TURKEY,0,MARMARA SEA,40.5,29.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,1,1,0,0,PORTUGAL,0,CABO SAN VICENTE,36,-10.83,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,4,1,0,0,0,1,1,0,6.6,TURKEY,0,MARMARA SEA,41,29,50,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
416,0,0,0,0,0,2,6,0,0,INDONESIA,0,JAVA-S. JAVA,-6.102,105.423,60,0,0,2,3.5,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0
426,0,0,0,0,0,-1,1,0,0,GREECE,0,GULF OF EUBOEA,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,1,26,0,0,0,1,1,0,7.3,TURKEY,0,MARMARA SEA,40.9,28.5,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
