YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1775,2,11,0,0,0,4,1,0,0,CUBA,0,SANTIAGO DE CUBA,19.9,-76,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1775,3,0,0,0,0,1,1,0,0,HAITI,0,HAITI: UNKNOWN LOCATION,19,-72.3,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1775,4,18,0,0,0,3,1,0,0,INDONESIA,0,AMBON ISLAND,-3.7,128.2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1775,10,22,0,0,0,1,1,0,0,FRANCE,0,ISLAND OF CORSICA,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1775,10,0,0,0,0,2,0,0,0,JAPAN,0,"AWA, BOSO, JAPAN",0,0,85,0,0,1,1,0,0,3,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,2,0,2,0,0
1775,12,18,0,0,0,2,1,0,0,HAITI,0,HAITI & DOMINICAN REPUBLIC,19,-72.4,74,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1777,11,14,0,0,0,1,1,0,0,SWEDEN,0,SWEDEN: SUNDVAL,62.366,17.333,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,3,4,0,0,0,1,0,0,0,BALTIC SEA,0,BALTIC SEA,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,6,16,18,30,0,3,1,0,0,GREECE,0,AEGEAN SEA,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,7,0,0,0,0,1,0,0,0,JAPAN,0,"HIGO, JAPAN",0,0,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,6,18,0,0,0,-1,1,0,0,RUSSIA,0,S. KURIL ISLANDS,0,0,86,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,6,29,0,0,0,4,1,0,7.5,RUSSIA,0,S. KURIL ISLANDS,45.3,151.2,86,12,0,3.6,3,0,12,1,0,0,0,0,0,1,0,1,0,0,12,1,0,0,0,0,0,1,0,1,0,0
1780,9,9,0,0,0,4,6,0,0,JAPAN,0,SW. KYUSHU ISLAND,31.6,130.7,85,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,10,3,0,0,0,-1,9,0,0,JAMAICA,0,SAVANNA LA MAR,18.2,-78.1,74,3,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,10,31,0,0,0,4,6,0,0,JAPAN,0,SW. KYUSHU ISLAND,31.6,130.7,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,4,11,0,0,0,4,6,0,0,JAPAN,0,SW. KYUSHU ISLAND,31.58,130.67,85,0,0,1,1,0,15,1,0,0,0,0,0,1,0,0,0,0,38,1,0,0,0,0,0,1,0,0,0,0
1781,8,1,0,0,0,1,2,0,0,JAMAICA,0,JAMAICA: UNKNOWN LOCATION,18.1,-77.3,74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,10,2,0,0,0,-1,9,0,0,JAMAICA,0,JAMAICA,0,0,74,3,0,1.6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782,5,22,0,0,0,2,1,0,7,TAIWAN,0,TAIWAN STRAIT,24.5,120.5,84,10,0,0,2.5,0,40000,4,0,0,0,0,0,3,0,3,0,0,40000,4,0,0,0,0,0,3,0,3,0,0
1782,8,22,0,0,0,4,3,0,7.3,JAPAN,0,"ODAWARA, SAGAMI BAY",35.1,139.7,85,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1000,3,0,0
1783,2,5,8,0,0,2,1,0,0,ITALY,0,TYRRHENIAN CALABRIA,38.9,17.1,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,2,5,12,0,0,4,1,13,6.9,ITALY,0,TYRRHENIAN CALABRIA,38.3,15.967,50,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,30000,4,0,0,0,0,0,4,0,4,0,1
1783,2,6,0,20,0,4,3,6,5.9,ITALY,0,MESSINA STRAITS,38.217,15.633,50,16,0,0,0,0,1500,4,0,0,0,0,0,2,0,2,0,0,1500,4,0,0,0,0,0,2,0,2,0,0
1783,2,7,13,10,0,1,1,0,6.6,ITALY,0,TYRRHENIAN CALABRIA,38.583,16.2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
1783,3,1,1,40,0,3,1,0,5.9,ITALY,0,TYRRHENIAN CALABRIA,38.767,16.3,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
1783,3,24,12,0,0,4,8,0,0,ITALY,0,MESSINA STRAITS,38.25,15.717,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1783,3,28,18,55,0,3,1,18,6.9,ITALY,0,TYRRHENIAN CALABRIA,38.783,16.467,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0
1784,1,7,0,0,0,4,1,0,4.1,ITALY,0,IONIAN CALABRIA,38.317,16.4,50,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0
1784,1,9,2,0,0,2,1,0,0,ITALY,0,TYRRHENIAN CALABRIA,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,1,19,0,0,0,2,1,0,4.1,ITALY,0,MESSINA STRAITS,38.167,15.633,50,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1784,3,28,0,0,0,1,1,0,0,MEXICO,0,S. MEXICO,16.9,-99.9,88,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
1784,5,13,12,35,0,2,1,0,8,PERU,0,S. PERU,-16.5,-72,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,383,3,0,0,0,0,0,3,0,3,0,0
1787,3,28,17,30,0,4,1,0,8.3,MEXICO,0,SAN MARCOS,16.5,-98.5,88,4,0,2,2.5,0,11,1,0,1,0,0,0,3,0,3,0,0,11,1,0,0,0,1,0,3,0,3,0,0
1787,4,3,15,30,0,2,1,0,7.3,MEXICO,0,SAN MARCOS,15.5,-97,88,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1787,10,27,0,0,0,1,1,0,0,JAMAICA,0,MONTEGO BAY,18.47,-77.92,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1787,0,0,0,0,0,1,0,0,0,PORTUGAL,0,AZORES,38.5,-28,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,7,8,0,0,0,1,1,0,0,IRISH SEA,0,IRISH SEA,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,7,21,0,0,0,4,1,0,8,USA,AK,"ALASKA PENINSULA, AK",57,-153,87,30,0,3,4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0
1788,8,6,0,0,0,4,1,0,8,USA,AK,"SHUMAGIN ISLANDS, AK",55,-161,87,88,0,3.3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1789,0,0,0,0,0,2,0,0,0,JAPAN,0,SANRIKU,38,141,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,9,11,0,0,0,-1,9,0,0,USA,AK,"E. ALEUTIAN ISLANDS, AK",0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,10,9,1,15,0,3,1,0,0,ALGERIA,0,ORAN,35.7,-0.6,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,4,0,0,0,0,0,3,0,3,0,0
1791,4,15,0,0,0,1,1,20,6.8,RUSSIA,0,KAMCHATKA,56,163,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,5,13,0,0,0,2,0,0,0,JAPAN,0,RYUKYU ISLANDS,32.8,130.3,85,11,0,2,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1791,9,13,0,0,0,3,1,0,6.5,JAPAN,0,OASAKA BAY,34.5,135.4,85,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
1791,11,2,21,0,0,2,1,0,7,GREECE,0,IONIAN SEA,37.8,21,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,80,2,0,3,0,3,0,0
1792,1,23,0,0,0,2,0,0,0,PORTUGAL,0,AZORES,39,-28,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1792,5,21,0,0,0,1,0,0,0,HOLLAND,0,NORTH SEA,52.37,4.53,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,5,21,0,0,0,4,6,0,6.4,JAPAN,0,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,85,55,0,3.5,3,0,14524,4,707,3,0,0,0,4,6200,4,0,0,14524,4,0,0,707,3,0,3,6200,4,0,0
1792,6,13,0,0,0,4,1,0,6.9,JAPAN,0,W. HOKKAIDO ISLAND,43.5,140.6,85,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
1792,8,9,0,0,0,2,1,0,6,TAIWAN,0,TAINAN,23.6,120.5,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,3,0,0,432,3,0,3,14889,4,0,0
1792,8,22,18,0,0,1,1,0,8.4,RUSSIA,0,KAMCHATKA,54,162,86,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,8,29,0,0,0,-1,0,0,0,JAPAN,0,TOKAIDO,34.5,136.7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,0,0,0,0,0,1,9,0,0,USA,AK,"KODIAK ISLAND, AK",57,-152,87,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1793,2,8,3,0,0,4,1,0,6.9,JAPAN,0,W. OFF AOMORI,40.85,139.95,85,1.8,0,1,2,0,12,1,0,0,0,0,0,1,0,1,0,0,12,1,0,0,0,0,0,2,164,3,0,0
1793,2,17,0,0,0,4,1,33,8.3,JAPAN,0,SANRIKU,38.5,144,85,4.5,0,2.2,2,0,720,3,0,0,0,0,0,3,100,2,0,0,745,3,0,0,0,0,0,3,1160,4,0,0
1793,7,17,0,0,0,1,0,0,0,UK,0,"PLYMOUTH, ENGLAND",50.363,-4.142,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794,6,11,3,0,0,3,3,0,5.5,GREECE,0,CORINTH GULF,38.3,22.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,0,0,0,0,0,3,1,0,0,TRINIDAD AND TOBAGO,0,PORT-OF-SPAIN,10.7,-61.7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1796,5,29,0,0,0,1,6,0,0,USA,AK,"BOGOSLOF ISLAND, AK",54,-167,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,11,5,6,0,0,0,1,0,0,PHILIPPINES,0,LUZON ISLAND,16,119.5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,2,10,0,0,0,4,1,0,8,INDONESIA,0,SW. SUMATRA,0.001,99,60,0,0,0,3,0,300,3,0,0,0,0,0,2,0,3,0,0,300,3,0,0,0,0,0,2,0,3,0,0
1797,11,21,0,0,0,4,6,0,0,JAPAN,0,SW. KYUSHU ISLAND,31.6,130.7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,2,22,0,0,0,2,1,0,0,COSTA RICA,0,MATINA,10.2,-82.9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,12,17,0,0,0,2,2,0,0,FRANCE,0,FRANCE: AIGEUS-MORTES,43.566,4.183,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,1,7,0,0,0,-1,9,0,0,ICELAND,0,ICELAND: BASINDER,63.92,-22.695,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,6,29,0,0,0,4,1,0,6.4,JAPAN,0,SW. HONSHU ISLAND,36.6,136.6,85,0,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,2
1799,0,0,0,0,0,2,1,0,0,PERU,0,N. PERU,-12,-77,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,0,0,0,0,0,-1,1,0,0,INDONESIA,0,SE. SUMATRA,-2,101,60,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,6,2,20,17,0,2,1,0,0,PORTUGAL,0,AZORES,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,1,4,7,0,0,2,1,0,0,CROATIA,0,BAKAR,45.3,14.4,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,3,19,0,0,0,2,1,0,0,ANTIGUA AND BARBUDA,0,ANTIGUA ISLAND & ST. CHRISTOPHER,17.2,-62.4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,8,10,0,0,0,1,0,0,0,UK,0,SW ENGLAND,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,8,15,0,0,0,3,1,0,0,VENEZUELA,0,CUMANA,10.3,-64.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,8,0,0,0,0,2,1,0,0,INDONESIA,0,BANDA SEA,-3.7,128.2,83,0,0,1,1.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1802,11,7,10,45,0,3,1,0,0,ALGERIA,0,HARBOUR OF ALGIERS,36.5,2.9,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1100,4,0,0
1802,12,9,5,0,0,4,1,0,6.6,JAPAN,0,NW. HONSHU ISLAND,37.7,138.3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,3,1060,4,0,0
1804,1,8,0,0,0,1,1,0,0,GREECE,0,"PELOPONNESUS, GREECE",38.2,21.8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,1,13,17,45,0,4,1,0,0,SPAIN,0,ALBORAN SEA,36.833,-2.833,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,6,8,3,0,0,3,1,0,6.7,GREECE,0,CORINTHOS-PATRAS GULF,38.3,21.8,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,7,10,13,0,0,4,1,0,7.3,JAPAN,0,NW. HONSHU ISLAND,39.05,139.95,85,1,0,0.5,1,0,0,3,0,0,0,0,0,2,0,0,300,3,450,3,0,0,0,0,0,4,10810,4,300,3
1804,7,31,22,0,0,2,0,0,0,ITALY,0,BAY OF NAPLES,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1805,1,8,0,0,0,1,0,0,0,GREECE,0,GULF OF PATRAS,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1805,5,8,0,0,0,3,0,0,0,AUSTRALIA,0,NORFOLK ISLAND,-29.06,167.95,81,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
1805,7,26,20,57,0,4,1,0,6.6,ITALY,0,CAMPANIA,41.5,14.467,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,3,25,8,0,0,2,1,0,0,USA,CA,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,8,26,13,20,0,2,1,0,0,ITALY,0,TERRACINA,41.7,12.7,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,12,1,23,0,0,3,1,0,7.5,PERU,0,CENTRAL PERU,-12.1,-77.1,89,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1808,4,2,16,43,0,2,1,0,5.7,ITALY,0,ITALIAN COAST,44.833,7.25,50,0.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
1808,8,8,0,0,0,4,1,0,6.5,JAPAN,0,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,85,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,12,4,0,0,0,1,0,0,0,JAPAN,0,TOKAIDO,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,7,3,0,0,0,2,1,0,0,ITALY,0,GULF OF LA SPEZIA,44.8,7.2,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,7,4,0,0,0,1,0,0,0,PORTUGAL,0,PORTUGAL,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,12,4,0,0,0,1,1,0,0,SOUTH AFRICA,0,CAPE OF GOOD HOPE,-33.88,18.45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,0,0,0,0,0,1,1,0,0,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",14,143.3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,2,16,0,0,0,0,1,0,0,GREECE,0,CRETE,35.5,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,9,25,0,0,0,4,1,0,6.6,JAPAN,0,NW. HONSHU ISLAND,39.9,139.9,85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,0,0,0,0,0,3,1084,4,0,0
1810,0,0,0,0,0,4,8,0,0,NORWAY,0,NORTHERN NORWAY,69.433,20.15,73,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,0,0,0,0,0,2,0,0,0,NEW ZEALAND,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,11,19,14,15,0,2,1,0,0,CHILE,0,CENTRAL CHILE,-33,-71.4,89,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,12,16,8,15,0,0,1,0,8.5,USA,AR,AR: NE -  NEW MADRID EARTHQUAKES,35.6,-90.4,75,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
1811,12,16,14,15,0,0,1,0,8,USA,AR,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,1,23,15,0,0,0,1,0,8.4,USA,MO,"NEW MADRID, MO",36.3,-89.6,75,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,2,7,9,45,0,0,1,0,8.8,USA,MO,"NEW MADRID, MO",36.5,-89.6,75,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,3,26,20,7,0,2,1,33,7.7,VENEZUELA,0,LA GUAIRA,10.6,-66.9,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26000,4,0,0,0,0,0,3,0,0,0,0
1812,6,23,0,0,0,2,2,0,0,FRANCE,0,MARSEILLES,43.3,5.366,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,11,11,10,50,0,2,1,0,0,JAMAICA,0,KINGSTON,18,-76.8,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3
1812,12,21,19,0,0,4,3,0,7.5,USA,CA,S. CALIFORNIA,34.2,-119.9,88,3.4,0,1.8,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
1812,0,0,0,0,0,1,0,0,0,USA,CA,"SAN FRANCISCO, N. CALIFORNIA",0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,5,17,0,0,0,1,6,0,0,ITALY,0,CAMPANIA,40.817,14.433,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,0,0,0,0,0,-1,0,0,0,USA,HI,HAWAII,0,0,80,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,2,1,0,0,INDONESIA,0,TIMOR ISLAND,-10.217,123.633,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1815,4,10,0,0,0,4,6,0,0,INDONESIA,0,TAMBORA,-8.2,118,60,3.5,0,2,1.5,0,0,3,0,0,0,0,0,1,0,0,0,0,60000,4,0,0,0,4,0,4,0,4,0,0
1815,4,11,0,0,0,1,1,0,0,INDONESIA,0,AMBON ISLAND,-3.7,128.4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
1815,11,22,0,0,0,3,3,150,7,INDONESIA,0,BALI SEA,-8,115,60,0,0,1,1.5,0,1200,4,0,0,0,0,0,0,0,0,0,0,11453,3,0,0,0,0,0,0,0,0,0,0
1816,5,1,0,0,0,2,1,0,0,INDONESIA,0,MALACCA STRAIT,5,96.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,12,20,0,0,0,-1,8,0,0,JAPAN,0,"W. IZU PENIN., JAPAN",0,0,85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,1,1,0,0,0,1,1,0,0,GREECE,0,IONIAN SEA,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,1,8,0,0,0,0,1,0,0,USA,PA,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,75,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,1,14,3,30,0,1,1,0,0,ITALY,0,SICILY CHANNEL,37.5,13,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,8,23,8,0,0,3,1,0,6.8,GREECE,0,CORINTHOS-PATRAS GULF,38.3,22.1,50,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,1,0,0,0,0,1,1,0,0,GREECE,0,ATHENS,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
